Material,Dia,pp,TEMP,adm,Dem,qts
42325.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
42334.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
43518.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
43522.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
43526.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61425.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61451.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61461.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61474.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61476.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61506.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61508.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61542.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61547.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61548.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61584.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61585.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61587.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61596.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61600.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
61613.0,2019-03-29,0.0,15.2,165.0,100.0,1.0
42327.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61399.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61423.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61424.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61426.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61462.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61487.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61497.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61518.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61519.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61538.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61568.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61598.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
61599.0,2019-03-29,0.0,15.2,165.0,100.0,2.0
